,ds,y
975,2020-09-02,299833922
976,2020-09-03,297952820
977,2020-09-04,289423501
978,2020-09-05,292078401
979,2020-09-06,309959200
980,2020-09-07,315481158
981,2020-09-08,306227994
982,2020-09-09,305371203
983,2020-09-10,304301247
984,2020-09-11,310774573
985,2020-09-12,309687449
986,2020-09-13,325471427
987,2020-09-14,325588760
988,2020-09-15,315608413
989,2020-09-16,316113986
990,2020-09-17,305852936
991,2020-09-18,298019360
992,2020-09-19,308511956
993,2020-09-20,322679191
994,2020-09-21,328858688
995,2020-09-22,316315330
996,2020-09-23,318656776
997,2020-09-24,310233776
998,2020-09-25,300953630
999,2020-09-26,305326009
1000,2020-09-27,320530845
1001,2020-09-28,314370902
1002,2020-09-29,308435585
1003,2020-09-30,302710040
1004,2020-10-01,297491705
1005,2020-10-02,294092738
1006,2020-10-03,295968913
1007,2020-10-04,310988409
1008,2020-10-05,314390414
1009,2020-10-06,319234554
1010,2020-10-07,326019390
1011,2020-10-08,322445182
1012,2020-10-09,314556187
1013,2020-10-10,314649225
1014,2020-10-11,327725466
1015,2020-10-12,339256168
1016,2020-10-13,319484413
1017,2020-10-14,320591226
1018,2020-10-15,322141669
1019,2020-10-16,317367327
1020,2020-10-17,313886190
1021,2020-10-18,324634153
1022,2020-10-19,329245430
1023,2020-10-20,317950422
1024,2020-10-21,319548655
1025,2020-10-22,317721073
1026,2020-10-23,303703654
1027,2020-10-24,317203875
1028,2020-10-25,326050816
1029,2020-10-26,326218260
1030,2020-10-27,326311806
1031,2020-10-28,325312170
1032,2020-10-29,319959819
1033,2020-10-30,313238534
1034,2020-10-31,310265432
1035,2020-11-01,324063940
1036,2020-11-02,332246069
1037,2020-11-03,331863648
1038,2020-11-04,354845527
1039,2020-11-05,333531657
1040,2020-11-06,328316042
1041,2020-11-07,339568660
1042,2020-11-08,367480152
1043,2020-11-09,344279866
1044,2020-11-10,339643355
1045,2020-11-11,339742773
1046,2020-11-12,337392920
1047,2020-11-13,322191960
1048,2020-11-14,318546217
1049,2020-11-15,342603540
1050,2020-11-16,336724255
1051,2020-11-17,333541208
1052,2020-11-18,334607969
1053,2020-11-19,335330496
1054,2020-11-20,326586050
1055,2020-11-21,327071395
1056,2020-11-22,342718527
1057,2020-11-23,338098401
1058,2020-11-24,323615229
1059,2020-11-25,324413478
1060,2020-11-26,319252872
1061,2020-11-27,312104388
1062,2020-11-28,322976590
1063,2020-11-29,336862988
1064,2020-11-30,329125568
1065,2020-12-01,314633169
1066,2020-12-02,314376703
1067,2020-12-03,316400721
1068,2020-12-04,310451153
